Reaction_Type,Metal,Support,Promoter,Preparation_Method,Metal_Loading_wt%,Temperature_C,Pressure_bar,GHSV_h-1,H2_CO_Ratio,Activity,Selectivity,Stability,TOF_s-1,Activation_Energy_kJ_mol
biomass-to-hmf,Pd,SBA-15,Na2O,Flame-spray,9.33,204.6,58.1,28283.0,1.65,0.6251,0.5904,0.7251,25.91,167.5
biomass-to-hmf,Pt,MCM-41,Na2O,Impregnation,17.39,805.0,55.5,10488.0,3.59,0.3546,0.2873,0.6662,10.28,68.1
water-gas-shift,Ce,Graphene,None,ALD,3.44,306.0,61.1,20174.0,0.65,0.52,0.4966,0.9156,1.37,90.7
dry-reforming,Ag,CeO2,Rb2O,Hydrothermal,21.71,375.6,93.6,2086.0,0.56,0.621,0.7294,0.9431,3.33,149.7
methanol-synthesis,Ce,HZSM-5,Cs2O,ALD,17.55,513.1,94.4,4709.0,0.72,0.4389,0.4562,0.5779,2.83,125.6
syngas-to-ethanol,Ag,MOF-5,Cs2O,Deposition-precipitation,2.23,584.9,15.7,49597.0,3.1,0.5657,0.5286,0.5146,16.54,143.0
hydrogenation,Ru,SiO2,Li2O,ALD,13.26,343.5,49.7,45403.0,1.58,0.8424,0.9513,0.8423,3.33,33.5
biomass-to-hmf,Ag,BEA,La2O3,Impregnation,20.61,575.9,82.8,3919.0,2.99,0.5301,0.3839,0.5716,10.14,106.3
ammonia-synthesis,Mo,CNT,Na2O,Deposition-precipitation,0.51,721.8,19.8,37745.0,2.19,0.4377,0.4703,0.8265,21.75,125.6
water-gas-shift,Cu,MCM-41,BaO,Flame-spray,21.54,267.2,99.7,4330.0,1.13,0.5348,0.5388,0.8995,8.65,72.1
dry-reforming,Co,CNT,CaO,Hydrothermal,4.17,352.8,42.2,4155.0,1.46,0.6981,0.7759,0.6932,33.36,149.2
co2-reduction,Rh,MCM-41,BaO,Flame-spray,7.89,373.6,44.9,8936.0,2.07,0.6933,0.6974,0.8203,3.93,104.3
syngas-to-ethanol,Cu,Graphene,CaO,Co-precipitation,6.88,829.9,3.9,25137.0,1.39,0.5412,0.5442,0.5228,10.43,86.7
ethanol-to-jet,Cu,HZSM-5,SrO,Sol-gel,8.52,641.3,79.2,45341.0,2.87,0.5614,0.6608,0.6835,1.42,128.2
water-gas-shift,Pd,C,Rb2O,Hydrothermal,15.83,871.4,47.9,24449.0,1.65,0.4015,0.2168,0.6259,5.3,63.7
ammonia-synthesis,In,Al2O3,Na2O,Co-precipitation,22.21,461.4,66.2,1319.0,0.95,0.5966,0.6669,0.7376,18.9,54.5
dry-reforming,Zn,TiO2,La2O3,Sputtering,5.96,634.1,48.4,20036.0,2.09,0.5589,0.6256,0.4616,16.23,81.2
biomass-to-hmf,Ni,SiO2,Cs2O,Sputtering,16.03,508.1,98.7,29048.0,2.62,0.5764,0.4934,0.6578,5.92,83.7
syngas-to-ethanol,Mn,MCM-41,Cs2O,Sol-gel,4.94,139.3,58.3,22464.0,1.66,0.6568,0.7423,0.7071,9.14,104.2
water-gas-shift,Sn,BEA,BaO,Sputtering,16.71,713.7,85.6,1547.0,3.81,0.3443,0.2755,0.6119,3.43,100.3
dehydrogenation,Fe,CNT,Li2O,Impregnation,7.18,292.0,54.5,45330.0,1.01,0.5427,0.5993,0.5748,0.05,97.6
dry-reforming,Cr,SiO2,Cs2O,Ion-exchange,6.01,205.2,58.7,34769.0,2.13,0.537,0.5631,0.4891,9.13,112.4
biomass-to-hmf,Rh,CNT,La2O3,Ion-exchange,1.99,592.2,99.6,13717.0,3.61,0.5587,0.5369,0.6455,16.83,75.2
water-gas-shift,Cr,BEA,CaO,Sputtering,17.93,546.4,62.6,27424.0,2.08,0.583,0.5766,0.3031,10.03,164.6
biomass-to-hmf,Fe,C,La2O3,Ion-exchange,11.26,472.3,12.0,22826.0,2.1,0.6609,0.5756,0.5565,11.44,171.4
methanol-synthesis,Au,MOF-5,CaO,Co-precipitation,21.05,422.9,7.4,24951.0,1.82,0.7355,0.7411,0.5981,9.81,42.9
hydrogenation,V,SiO2,K2O,Ion-exchange,0.99,611.8,22.3,4693.0,2.92,0.6279,0.5815,0.3335,9.48,93.8
methanol-synthesis,Zn,CeO2,Cs2O,Flame-spray,15.62,536.4,72.6,32509.0,2.01,0.5599,0.6501,0.7861,49.55,89.0
methanol-synthesis,Cr,CeO2,La2O3,Ion-exchange,11.88,878.9,63.4,7172.0,2.23,0.4744,0.5103,0.6625,2.04,163.5
hydrogenation,Zn,C,None,Electrodeposition,3.01,773.7,10.1,14116.0,2.83,0.3565,0.3171,0.5944,2.12,121.5
dry-reforming,Mo,BEA,Na2O,Sol-gel,5.21,352.4,16.0,25635.0,3.93,0.6864,0.6756,0.7377,6.5,123.0
biomass-to-hmf,Co,SiO2,Li2O,Hydrothermal,6.65,315.5,99.6,24438.0,3.55,0.6516,0.7251,0.5689,8.17,174.6
dry-reforming,Au,BEA,La2O3,Sol-gel,23.74,545.9,82.8,17329.0,2.06,0.4516,0.4992,0.6573,5.13,175.2
ammonia-synthesis,Ni,MgO,Li2O,Electrodeposition,16.5,880.1,61.0,41509.0,0.91,0.4008,0.4263,0.6485,3.93,157.2
biomass-to-hmf,Au,SiO2,Rb2O,Hydrothermal,5.23,811.8,17.0,16797.0,0.53,0.2952,0.2398,0.6279,7.16,84.1
syngas-to-ethanol,Fe,CNT,K2O,Impregnation,2.96,369.8,30.7,20771.0,1.65,0.7486,0.8861,0.611,41.89,40.4
dehydrogenation,Ti,MCM-41,SrO,Deposition-precipitation,21.3,710.4,75.9,24090.0,1.31,0.3824,0.3694,0.6316,6.84,102.0
dry-reforming,Zn,BEA,La2O3,Deposition-precipitation,14.02,249.3,7.6,14022.0,3.73,0.5469,0.5188,0.8481,18.9,85.6
syngas-to-ethanol,Mn,CNT,Li2O,Sputtering,13.0,649.2,98.3,12292.0,2.25,0.6157,0.5826,0.5612,6.46,124.9
biomass-to-hmf,Pt,SBA-15,Cs2O,Sputtering,12.94,193.7,66.5,46612.0,1.18,0.7416,0.6454,0.7962,18.28,91.9
ammonia-synthesis,Ru,ZrO2,La2O3,Impregnation,9.74,667.8,3.3,7890.0,3.97,0.5453,0.5136,0.6241,9.22,122.4
co2-reduction,Co,SAPO-34,SrO,Sol-gel,7.03,310.1,22.0,38299.0,2.71,0.6516,0.5871,0.4684,24.33,120.3
ammonia-synthesis,W,MOF-5,La2O3,Impregnation,14.61,690.3,50.8,7585.0,0.92,0.6159,0.5412,0.6717,25.22,32.8
hydrogenation,Pd,SBA-15,SrO,Sputtering,12.88,570.0,82.2,30195.0,3.42,0.7394,0.636,0.7021,11.65,85.4
ethanol-to-jet,Sn,ZrO2,Na2O,Ion-exchange,12.51,440.6,44.0,49393.0,0.71,0.7134,0.6936,0.8522,7.0,88.2
ethanol-to-jet,Ag,HZSM-5,Cs2O,Impregnation,0.65,877.9,68.5,35152.0,3.55,0.4019,0.4236,0.5345,7.89,41.9
syngas-to-ethanol,In,CNT,Cs2O,Hydrothermal,22.98,433.0,91.7,25186.0,1.19,0.6667,0.5888,0.5509,8.18,162.4
methanol-synthesis,Sn,Al2O3,SrO,Deposition-precipitation,15.68,691.3,65.0,7373.0,0.79,0.5416,0.5789,0.7105,16.35,119.3
methanol-synthesis,Ce,MgO,SrO,Impregnation,15.26,153.2,38.5,4222.0,2.75,0.5631,0.4972,0.5108,3.88,134.9
co2-reduction,Ni,MOF-5,Na2O,Sputtering,7.91,607.6,78.8,2228.0,2.5,0.593,0.4795,0.7032,0.12,161.7
methanol-synthesis,Zn,CNT,Rb2O,Impregnation,3.13,165.7,89.5,41385.0,1.26,0.5005,0.5763,0.8095,33.93,32.7
water-gas-shift,Pt,SiO2,SrO,Ion-exchange,9.42,775.7,20.4,14071.0,2.63,0.4848,0.4783,0.6833,12.86,38.8
dehydrogenation,Zn,HZSM-5,K2O,Deposition-precipitation,5.31,261.2,63.4,48754.0,0.6,0.4636,0.4842,0.8048,1.0,149.2
dry-reforming,Zn,SBA-15,La2O3,Ion-exchange,17.09,898.0,55.1,43064.0,2.76,0.3366,0.2777,0.5114,1.26,175.3
ethanol-to-jet,Pt,ZrO2,Li2O,Impregnation,6.99,321.0,88.5,17193.0,1.75,0.6376,0.727,0.4748,1.04,132.5
dehydrogenation,Ru,CeO2,Cs2O,Impregnation,21.16,813.8,64.2,23073.0,3.27,0.3438,0.4123,0.7318,34.76,73.4
methanol-synthesis,Ti,SiO2,Na2O,Hydrothermal,14.39,601.4,24.2,32553.0,2.53,0.7328,0.7943,0.7861,34.85,152.1
water-gas-shift,V,C,None,Sputtering,21.75,887.2,16.4,49132.0,3.7,0.3128,0.3088,0.6392,2.47,105.6
water-gas-shift,Cr,MOF-5,None,Ion-exchange,17.53,251.3,26.8,29906.0,0.61,0.4692,0.5385,0.726,4.46,131.5
hydrogenation,Ti,CeO2,Na2O,ALD,20.8,359.6,51.9,10795.0,3.0,0.6027,0.6777,0.7335,5.83,36.8
ammonia-synthesis,Ni,SiO2,Li2O,Electrodeposition,5.55,166.0,6.1,48391.0,3.27,0.5399,0.5536,0.7475,20.73,126.4
biomass-to-hmf,Cr,TiO2,BaO,Impregnation,11.69,516.4,94.8,4804.0,1.16,0.5331,0.612,0.5908,1.19,138.4
dry-reforming,In,MOF-5,Cs2O,Impregnation,8.33,694.9,55.8,12895.0,3.46,0.6735,0.6325,0.7144,4.15,104.1
ethanol-to-jet,Ni,HZSM-5,Cs2O,ALD,20.58,343.5,66.1,36463.0,3.2,0.8465,0.8534,0.8909,1.38,132.3
biomass-to-hmf,Cr,MOF-5,K2O,Impregnation,21.93,566.1,68.2,9105.0,1.64,0.5726,0.5514,0.7136,4.35,115.8
co2-reduction,Au,CNT,Na2O,Flame-spray,2.42,315.1,93.7,33495.0,3.01,0.6745,0.6805,0.7952,26.92,140.0
dehydrogenation,W,C,None,Co-precipitation,22.83,146.8,19.9,7331.0,1.67,0.4476,0.4927,0.5834,18.71,46.2
water-gas-shift,In,SAPO-34,K2O,Ion-exchange,13.12,287.3,25.8,35467.0,2.6,0.527,0.5486,0.7188,50.34,169.2
co2-reduction,Zn,CNT,K2O,Sol-gel,3.52,754.2,41.9,36003.0,1.54,0.339,0.287,0.7521,6.52,135.4
ethanol-to-jet,Ni,SAPO-34,K2O,Sol-gel,17.89,275.4,69.9,7006.0,2.09,0.4933,0.5211,0.3587,9.1,80.6
dry-reforming,Mn,MCM-41,Li2O,Hydrothermal,5.08,538.7,65.1,49233.0,1.17,0.5062,0.5118,0.7634,11.78,44.9
syngas-to-ethanol,Pt,Al2O3,CaO,Sol-gel,4.79,504.2,75.2,13928.0,2.61,0.566,0.5031,0.7579,10.45,177.2
hydrogenation,Ti,Graphene,None,Deposition-precipitation,18.39,393.8,61.9,45274.0,3.05,0.4207,0.4159,0.583,24.54,108.7
methanol-synthesis,Zn,BEA,BaO,Flame-spray,4.23,862.1,49.7,5203.0,2.95,0.3365,0.373,0.7779,3.27,100.0
methanol-synthesis,Cu,CNT,Na2O,Sputtering,2.45,866.0,35.6,23568.0,3.54,0.4463,0.4559,0.7589,22.68,155.6
methanol-synthesis,Sn,TiO2,Na2O,Co-precipitation,14.02,574.4,72.1,39713.0,1.09,0.6207,0.6212,0.6854,34.25,67.0
dry-reforming,Pd,CeO2,K2O,Electrodeposition,5.36,541.4,15.0,39067.0,2.18,0.5384,0.6089,0.7368,5.33,55.7
hydrogenation,Cu,MCM-41,La2O3,Impregnation,22.33,593.8,64.7,23489.0,1.1,0.5842,0.5397,0.8667,3.94,46.0
syngas-to-ethanol,Rh,CeO2,None,Ion-exchange,15.82,772.8,52.1,6449.0,3.96,0.3287,0.2939,0.7227,11.7,84.4
water-gas-shift,Pd,SBA-15,Na2O,Hydrothermal,1.98,148.4,14.7,42643.0,1.27,0.539,0.4251,0.6894,7.89,47.0
methanol-synthesis,Pt,MgO,Cs2O,Ion-exchange,5.03,325.6,47.0,24428.0,2.87,0.6578,0.7144,0.6074,3.35,174.7
dry-reforming,Au,MCM-41,SrO,Sol-gel,18.61,813.3,96.6,2153.0,2.81,0.4684,0.4091,0.8055,38.05,141.1
dehydrogenation,Mo,MgO,SrO,Electrodeposition,15.51,688.8,52.3,23044.0,1.14,0.5323,0.5309,0.5227,3.48,118.7
biomass-to-hmf,Co,SAPO-34,BaO,Deposition-precipitation,0.88,458.3,44.0,15208.0,2.68,0.5932,0.5813,0.6515,6.21,135.1
water-gas-shift,Ru,SiO2,SrO,Flame-spray,12.9,856.5,44.8,45626.0,2.66,0.391,0.3763,0.6536,35.02,77.1
dry-reforming,Fe,CeO2,None,Co-precipitation,2.12,807.5,79.0,24696.0,3.34,0.2638,0.2469,0.5053,2.61,72.3
co2-reduction,Sn,MOF-5,SrO,Hydrothermal,6.27,674.2,14.7,38434.0,0.8,0.5208,0.5046,0.8416,6.34,61.8
water-gas-shift,Co,MgO,CaO,Sputtering,22.05,477.3,68.1,45650.0,1.95,0.6018,0.5907,0.6623,19.38,103.2
methanol-synthesis,Ce,BEA,SrO,Deposition-precipitation,22.49,733.4,12.7,25210.0,3.66,0.4039,0.3317,0.5781,16.92,117.4
syngas-to-ethanol,V,SAPO-34,Na2O,Deposition-precipitation,23.43,512.6,2.0,20715.0,0.96,0.4514,0.4561,0.7771,13.95,56.7
biomass-to-hmf,Au,Graphene,Rb2O,ALD,18.17,328.5,38.3,29457.0,1.22,0.5744,0.488,0.6825,28.04,72.2
hydrogenation,V,TiO2,None,ALD,16.92,385.6,69.7,31727.0,0.74,0.5205,0.5704,0.8065,0.58,156.8
hydrogenation,Rh,MCM-41,Cs2O,Ion-exchange,1.7,224.9,49.2,13762.0,2.28,0.8421,0.7966,0.8788,11.67,71.4
syngas-to-ethanol,Mo,ZrO2,BaO,Flame-spray,10.05,865.5,29.4,27398.0,1.89,0.4082,0.4531,0.6807,5.88,98.8
methanol-synthesis,W,BEA,K2O,Flame-spray,2.16,235.0,49.5,22586.0,1.27,0.5775,0.6962,0.7561,21.41,99.5
dehydrogenation,Zn,C,Rb2O,Ion-exchange,9.68,200.3,89.7,34889.0,1.35,0.5818,0.6367,0.8121,7.82,45.4
hydrogenation,Cr,SAPO-34,Na2O,Flame-spray,12.64,784.0,13.0,11468.0,1.67,0.3571,0.3098,0.8164,1.48,161.2
dry-reforming,Au,MCM-41,Li2O,Sputtering,11.69,745.7,72.7,30455.0,3.02,0.5555,0.5392,0.5962,2.51,96.3
ethanol-to-jet,Pt,MCM-41,Na2O,Deposition-precipitation,24.23,121.4,3.0,24762.0,0.86,0.6259,0.7613,0.6508,8.33,45.6
ammonia-synthesis,Fe,TiO2,SrO,Sol-gel,3.16,246.8,63.0,18511.0,2.07,0.5443,0.5606,0.7886,1.2,37.8
dry-reforming,Au,Graphene,La2O3,Deposition-precipitation,21.36,183.7,47.4,32098.0,1.74,0.5013,0.4159,0.715,0.87,168.5
water-gas-shift,Pt,MOF-5,La2O3,Ion-exchange,5.79,346.2,51.0,7627.0,1.04,0.6299,0.7495,0.8222,20.49,37.7
methanol-synthesis,Ni,MgO,Cs2O,Sputtering,10.44,466.1,38.2,8663.0,0.72,0.7217,0.8633,0.5549,15.52,133.0
biomass-to-hmf,Cr,C,CaO,Impregnation,15.76,461.1,24.0,9342.0,0.62,0.73,0.6869,0.5668,17.97,178.7
methanol-synthesis,Ti,TiO2,CaO,Sputtering,5.28,243.5,38.1,1052.0,3.05,0.5298,0.476,0.8238,8.12,164.0
water-gas-shift,In,MCM-41,Na2O,ALD,13.24,318.0,35.8,11654.0,1.38,0.7843,0.8798,0.9346,7.88,40.8
ethanol-to-jet,Cu,Graphene,La2O3,Impregnation,13.68,400.2,41.0,2670.0,0.7,0.7593,0.7928,0.6913,8.39,51.6
co2-reduction,In,CNT,Na2O,Co-precipitation,17.56,764.2,32.2,30513.0,2.15,0.7524,0.822,0.6076,17.55,163.6
water-gas-shift,Ni,TiO2,Rb2O,Flame-spray,9.16,164.5,27.8,40032.0,1.45,0.6214,0.5846,0.5882,1.14,34.9
ethanol-to-jet,Pt,SiO2,K2O,Impregnation,23.33,465.9,17.4,28507.0,1.39,0.6774,0.716,0.6662,30.2,119.6
dry-reforming,Cr,ZrO2,BaO,Flame-spray,12.42,334.4,54.5,20478.0,0.79,0.6629,0.7012,0.7289,1.29,177.7
ammonia-synthesis,Cr,C,BaO,ALD,19.19,512.7,12.7,4123.0,1.22,0.4968,0.4974,0.6148,20.28,55.8
dehydrogenation,Pd,SiO2,Rb2O,Hydrothermal,9.42,872.0,15.6,23807.0,1.67,0.5055,0.4694,0.4432,14.72,149.3
ethanol-to-jet,Mn,MCM-41,BaO,Sol-gel,6.97,540.2,61.3,27896.0,1.93,0.6567,0.68,0.8233,1.33,46.4
co2-reduction,Zn,SAPO-34,CaO,Deposition-precipitation,8.46,348.8,47.2,13134.0,2.81,0.669,0.629,0.7901,3.53,38.4
methanol-synthesis,Pt,MCM-41,CaO,Co-precipitation,18.66,590.1,74.7,2705.0,2.16,0.6744,0.6176,0.6007,16.03,37.6
dehydrogenation,Zn,MCM-41,Na2O,Ion-exchange,7.7,569.6,5.4,40014.0,1.19,0.5274,0.5279,0.7465,20.14,35.0
dehydrogenation,Zn,C,None,Deposition-precipitation,0.76,357.1,78.1,41769.0,1.33,0.4972,0.4576,0.8638,7.57,58.0
biomass-to-hmf,Mn,MCM-41,Cs2O,Deposition-precipitation,24.56,746.8,2.0,27327.0,3.64,0.3778,0.3478,0.4744,1.33,43.0
dehydrogenation,Ti,HZSM-5,CaO,Deposition-precipitation,18.94,685.6,18.4,10121.0,1.91,0.4819,0.4745,0.6241,29.28,144.1
methanol-synthesis,V,BEA,Na2O,Co-precipitation,4.9,582.2,18.0,23251.0,3.29,0.5707,0.5846,0.7573,3.81,90.8
biomass-to-hmf,Pd,Graphene,La2O3,Sol-gel,22.07,585.5,92.5,13091.0,1.4,0.5048,0.4867,0.7159,12.97,79.6
ammonia-synthesis,Mn,SAPO-34,Li2O,Flame-spray,9.67,487.7,16.8,13659.0,3.7,0.637,0.5653,0.8771,26.11,108.1
hydrogenation,Ag,MgO,CaO,Impregnation,12.74,547.7,24.3,33482.0,0.67,0.5323,0.4878,0.682,8.9,152.0
syngas-to-ethanol,V,BEA,BaO,Flame-spray,21.33,189.9,83.5,29239.0,3.48,0.5035,0.5277,0.6151,13.99,90.9
hydrogenation,Ni,BEA,None,Electrodeposition,14.93,433.7,24.6,2237.0,1.15,0.5544,0.5111,0.6127,24.82,179.8
ethanol-to-jet,Ce,SiO2,CaO,Impregnation,7.38,799.0,62.3,28455.0,1.32,0.3668,0.3889,0.5171,5.31,150.3
biomass-to-hmf,Pd,MCM-41,K2O,Hydrothermal,20.21,330.9,82.6,25442.0,2.49,0.6529,0.6526,0.8392,17.21,124.6
water-gas-shift,Cr,ZrO2,Cs2O,Sputtering,8.53,226.2,82.5,37330.0,0.94,0.6167,0.5115,0.7011,1.12,139.3
syngas-to-ethanol,Mn,SBA-15,SrO,ALD,5.75,701.6,3.9,24095.0,3.29,0.4556,0.4584,0.4973,20.0,147.3
dehydrogenation,Sn,ZrO2,Rb2O,Co-precipitation,15.95,633.7,92.1,33575.0,0.59,0.6108,0.6351,0.7629,0.22,152.8
ethanol-to-jet,Ce,BEA,Rb2O,Impregnation,6.94,600.0,23.9,36436.0,2.03,0.5595,0.676,0.8094,38.83,146.7
dry-reforming,Pd,CeO2,Li2O,Deposition-precipitation,15.26,208.9,49.4,40066.0,2.91,0.4999,0.5519,0.9113,3.47,102.7
co2-reduction,Pd,SAPO-34,Na2O,Deposition-precipitation,6.33,356.1,77.9,20225.0,3.53,0.5756,0.5277,0.6463,25.81,161.1
dehydrogenation,Mo,Al2O3,Na2O,Co-precipitation,2.59,632.1,34.5,35413.0,3.23,0.6131,0.5795,0.5999,6.21,30.6
water-gas-shift,Fe,Graphene,Cs2O,Sputtering,19.69,803.0,23.2,29472.0,1.99,0.5136,0.505,0.635,23.48,172.4
dry-reforming,Mo,TiO2,La2O3,Sputtering,10.45,695.1,90.8,24466.0,3.92,0.7549,0.6655,0.7335,49.46,42.9
co2-reduction,Ni,C,La2O3,Hydrothermal,18.55,194.9,71.3,27330.0,3.91,0.4376,0.4605,0.4596,5.67,84.7
ethanol-to-jet,Zn,MOF-5,BaO,Flame-spray,14.72,631.5,51.4,49848.0,3.26,0.565,0.6587,0.7454,83.78,98.7
water-gas-shift,Sn,TiO2,SrO,Sputtering,23.51,564.4,94.2,30250.0,3.99,0.4984,0.5205,0.5979,23.09,96.4
ethanol-to-jet,Fe,CeO2,BaO,Flame-spray,7.23,345.1,71.2,39856.0,1.72,0.5967,0.5361,0.8392,3.84,73.4
ammonia-synthesis,Ni,SBA-15,Cs2O,Hydrothermal,22.24,301.6,16.4,30748.0,3.48,0.6479,0.5665,0.665,8.84,59.6
ammonia-synthesis,Mo,C,Cs2O,Ion-exchange,4.12,216.1,85.9,34307.0,0.96,0.5682,0.6125,0.7721,23.89,151.5
dehydrogenation,V,SiO2,Rb2O,Co-precipitation,16.87,799.1,68.6,2385.0,1.31,0.4428,0.4369,0.4905,13.65,45.6
dry-reforming,In,HZSM-5,La2O3,Sputtering,23.24,532.4,73.1,17019.0,2.27,0.5123,0.5133,0.7154,1.08,55.2
methanol-synthesis,Ni,Al2O3,Na2O,Hydrothermal,18.53,358.1,96.6,16574.0,1.99,0.591,0.5703,0.7106,13.9,130.8
biomass-to-hmf,Ag,SAPO-34,Li2O,Co-precipitation,15.33,870.9,96.7,44797.0,1.83,0.3966,0.4137,0.7691,2.41,59.3
dry-reforming,Rh,C,K2O,Deposition-precipitation,21.85,792.3,21.9,46903.0,2.72,0.4654,0.5332,0.4621,3.8,55.0
biomass-to-hmf,In,C,CaO,ALD,14.5,212.6,67.7,2598.0,3.73,0.5409,0.4755,0.7563,0.05,172.0
dehydrogenation,Rh,TiO2,Rb2O,Impregnation,4.76,509.8,31.1,23582.0,2.86,0.5822,0.6076,0.7021,7.01,173.1
methanol-synthesis,Ti,MCM-41,Rb2O,Co-precipitation,10.97,240.8,94.2,30249.0,1.18,0.7385,0.8216,0.7468,6.21,78.3
water-gas-shift,Au,SAPO-34,BaO,Hydrothermal,23.06,873.1,12.0,11929.0,2.13,0.4101,0.3648,0.8008,2.53,87.9
water-gas-shift,In,MgO,None,Deposition-precipitation,7.18,281.2,68.5,24721.0,2.84,0.638,0.724,0.7834,7.07,65.5
ammonia-synthesis,Co,CeO2,Li2O,Ion-exchange,12.36,434.1,75.5,42867.0,3.87,0.6362,0.7392,0.807,63.24,56.1
ammonia-synthesis,Cr,CNT,SrO,Ion-exchange,21.48,630.4,39.4,38711.0,0.99,0.5431,0.5399,0.3934,0.88,96.9
co2-reduction,Cu,Al2O3,K2O,ALD,11.04,590.3,7.5,38040.0,0.87,0.9514,0.9576,0.6437,69.76,96.6
ammonia-synthesis,Au,SBA-15,Rb2O,Flame-spray,17.41,493.1,26.6,44544.0,3.59,0.6042,0.5517,0.7301,6.51,51.6
dry-reforming,Sn,SiO2,K2O,Electrodeposition,24.38,361.0,1.1,20163.0,0.86,0.6604,0.5229,0.8542,9.08,135.9
hydrogenation,Rh,HZSM-5,BaO,Sputtering,21.89,200.6,38.5,17479.0,1.71,0.8306,0.7674,0.5572,95.0,118.3
ethanol-to-jet,Ti,Al2O3,K2O,Ion-exchange,3.67,847.0,75.5,31209.0,1.87,0.4127,0.3801,0.6524,0.03,139.7
syngas-to-ethanol,Cr,TiO2,Na2O,Sol-gel,12.92,518.3,19.8,47087.0,1.02,0.6344,0.6228,0.6669,8.54,94.1
hydrogenation,Ru,MOF-5,Cs2O,Hydrothermal,23.37,528.6,68.6,18873.0,2.53,0.5221,0.6369,0.9022,11.38,99.5
ammonia-synthesis,Zn,SiO2,Rb2O,Deposition-precipitation,13.04,413.4,80.3,29203.0,1.0,0.5488,0.5664,0.7973,23.66,134.6
biomass-to-hmf,Ag,C,CaO,Hydrothermal,10.81,241.3,50.2,4765.0,3.34,0.4839,0.5748,0.5871,11.79,95.6
syngas-to-ethanol,Au,ZrO2,Na2O,Deposition-precipitation,24.44,584.4,92.6,40533.0,1.99,0.4567,0.4688,0.7446,9.77,122.3
hydrogenation,Pd,ZrO2,Cs2O,ALD,10.62,725.4,7.1,29113.0,2.12,0.7801,0.6815,0.6415,2.44,80.0
biomass-to-hmf,In,C,SrO,Hydrothermal,17.67,715.0,30.6,11748.0,1.59,0.3593,0.413,0.5657,8.76,47.8
co2-reduction,Co,TiO2,Cs2O,Ion-exchange,18.19,883.0,4.3,20668.0,3.45,0.341,0.3561,0.6136,4.67,166.5
hydrogenation,Sn,C,Cs2O,Impregnation,8.08,858.8,37.6,37485.0,2.92,0.4545,0.5049,0.5833,9.76,99.8
ethanol-to-jet,Ru,TiO2,Cs2O,Electrodeposition,11.06,847.1,80.2,12342.0,3.88,0.3997,0.5012,0.6882,9.35,128.8
ammonia-synthesis,Ti,Graphene,SrO,Electrodeposition,8.35,633.7,1.0,2380.0,2.96,0.5355,0.6064,0.6031,3.13,152.5
methanol-synthesis,Ce,CNT,Cs2O,Impregnation,12.45,761.3,96.7,14744.0,3.32,0.4206,0.3987,0.7521,9.51,139.0
biomass-to-hmf,In,SBA-15,K2O,Electrodeposition,1.72,222.4,16.0,3580.0,1.0,0.5168,0.5196,0.7105,9.92,143.6
syngas-to-ethanol,Ce,HZSM-5,None,Sol-gel,14.84,384.7,7.3,37068.0,1.56,0.5946,0.552,0.6788,9.4,131.2
ammonia-synthesis,Fe,ZrO2,SrO,Impregnation,17.85,899.4,32.9,12791.0,2.26,0.4378,0.477,0.7799,10.29,34.2
dehydrogenation,V,TiO2,Li2O,Ion-exchange,8.18,842.6,29.0,7684.0,1.84,0.4908,0.4253,0.5266,4.07,153.5
syngas-to-ethanol,W,BEA,Cs2O,Flame-spray,8.89,556.6,5.2,35934.0,2.47,0.5413,0.5445,0.7801,15.28,113.9
biomass-to-hmf,Co,SiO2,None,Co-precipitation,10.84,139.2,66.5,39703.0,2.82,0.5994,0.6431,0.86,14.7,150.7
ethanol-to-jet,Ru,TiO2,SrO,Hydrothermal,21.92,332.5,93.3,48294.0,2.89,0.6885,0.6971,0.7426,13.51,123.8
syngas-to-ethanol,Ru,Al2O3,BaO,Impregnation,23.95,662.8,91.7,23240.0,2.41,0.4768,0.4388,0.52,5.31,154.8
methanol-synthesis,W,CeO2,K2O,Flame-spray,16.93,807.7,66.8,28880.0,3.87,0.3941,0.3292,0.5852,21.86,169.3
ammonia-synthesis,Cr,SAPO-34,K2O,Impregnation,13.83,858.5,7.0,46347.0,1.32,0.3727,0.3752,0.4922,2.08,66.1
water-gas-shift,Ti,MCM-41,Li2O,Impregnation,19.37,212.3,84.2,39861.0,2.07,0.5238,0.5805,0.6246,21.52,66.0
dry-reforming,Zn,Al2O3,Cs2O,Co-precipitation,22.64,584.6,68.5,18085.0,3.68,0.6463,0.6941,0.6805,30.15,57.7
water-gas-shift,Ag,ZrO2,SrO,Flame-spray,4.48,745.8,66.7,12346.0,2.96,0.3233,0.4188,0.6427,3.09,51.6
syngas-to-ethanol,Co,C,Na2O,Sputtering,2.34,356.6,61.1,30474.0,0.58,0.6925,0.5974,0.6189,62.45,131.2
ammonia-synthesis,Pd,BEA,CaO,Sputtering,6.42,372.0,58.1,32319.0,3.79,0.7128,0.8463,0.7805,57.76,33.7
ammonia-synthesis,Ag,SiO2,BaO,ALD,5.02,407.2,98.7,41182.0,3.82,0.6489,0.6063,0.5122,9.2,130.5
co2-reduction,Pt,ZrO2,CaO,Flame-spray,13.27,559.9,18.0,48179.0,1.77,0.6359,0.5767,0.7476,10.58,79.7
co2-reduction,Ni,SAPO-34,None,Co-precipitation,24.56,659.5,90.4,46310.0,2.88,0.6013,0.6101,0.4683,3.47,75.4
